danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,chorus_hit,sections,decade,target
0.662,0.537,-9.428,0.0632,0.0826,0.00155,0.0843,0.777,132.572,271600,33.88297,13,80s,0
0.695,0.528,-12.9,0.0502,0.148,0.0497,0.137,0.871,97.206,326067,31.88262,14,70s,1
0.532,0.586,-8.011,0.0526,0.858,0.638,0.173,0.731,167.897,359480,29.9336,13,00s,0
0.332,0.965,-9.103,0.173,0.00767,0.907,0.369,0.227,94.853,208627,21.58181,13,80s,0
0.744,0.568,-9.629,0.0494,0.186,1.18e-05,0.163,0.687,122.657,178400,21.35428,9,70s,1
0.525,0.796,-8.397,0.266,0.483,0.0,0.96,0.568,102.132,227533,31.70214,11,60s,1
0.168,0.593,-10.781,0.0387,0.265,0.00121,0.189,0.718,155.247,185800,28.90944,9,70s,1
0.818,0.745,-6.052,0.0385,0.228,0.0045,0.392,0.961,135.994,143813,47.17369,7,60s,1
0.724,0.879,-9.412,0.0369,0.124,0.0155,0.359,0.826,112.595,227080,20.5233,10,70s,1
0.271,0.982,-4.295,0.121,0.000258,0.00453,0.586,0.117,154.692,232867,82.72886,9,10s,0
0.421,0.657,-8.802,0.197,0.00118,0.0032,0.0906,0.508,151.549,149537,52.7777,9,90s,0
0.37,0.174,-19.316,0.0377,0.95,0.0029,0.11,0.181,92.75,247493,55.4484,12,10s,0
0.316,0.986,-3.715,0.185,2.67e-05,1.48e-05,0.737,0.154,144.066,164267,67.81519,7,90s,0
0.56,0.911,-2.536,0.0569,0.134,6.9e-06,0.0589,0.85,149.911,121107,30.12321,7,10s,0
0.7,0.465,-10.43,0.0562,0.36,0.000157,0.143,0.306,137.823,340962,62.84518,13,90s,1
